Wavelength [nm],Lampe Halogene #0,DEL #2,Bulbe Halogen  #3,DEL #2,Fluorescent tourbillon,DEL Chandelier,Fluorescent Philipps,Globe incandescent,
234.865,64.85,-13.99,80.38,18.43,-46.59,31.57,11.61,109.74,
235.083,75.09,88.4,160.25,98.3,27.14,97.11,124.24,46.25,
235.3,62.8,33.11,127.49,98.3,0.51,74.58,126.29,-7,
235.518,79.19,47.44,152.06,-10.24,64,185.17,138.58,136.36,
235.735,126.29,141.65,242.17,112.64,182.78,162.64,138.58,214.18,
235.953,105.81,76.12,225.79,118.78,84.48,144.21,1.37,113.83,
236.17,50.52,31.06,154.11,0,92.67,76.63,44.37,27.82,
236.388,-25.26,53.59,66.05,47.1,-5.63,23.38,-35.5,-15.19,
236.605,71,45.4,76.29,81.92,113.15,27.48,58.71,117.93,
236.822,95.57,104.79,166.4,124.93,133.63,109.4,138.58,195.75,
237.04,138.58,98.64,219.64,165.89,109.05,234.32,97.62,97.45,
237.257,71,84.31,133.63,94.21,115.2,66.39,101.72,48.3,
237.475,91.48,-7.85,0.51,16.38,-44.54,-3.24,-35.5,62.63,
237.692,-23.21,-3.75,113.15,98.3,-60.93,105.3,105.81,138.41,
237.909,21.85,145.75,147.97,137.21,82.43,68.44,75.09,72.87,
238.127,5.46,59.73,45.57,49.15,4.61,76.63,-12.97,25.77,
238.344,62.8,74.07,104.96,133.12,68.09,138.07,105.81,138.41,
238.562,75.09,65.88,143.87,108.54,45.57,37.72,-60.07,99.5,
238.779,-33.45,-44.71,49.66,32.77,2.56,9.05,-109.22,36.01,
238.996,-6.83,-3.75,113.15,10.24,6.66,17.24,19.8,-4.95,
239.214,50.52,18.77,20.99,30.72,66.05,31.57,68.95,-19.29,
239.431,79.19,24.92,115.2,55.3,86.53,111.44,50.52,52.39,
239.648,-15.02,67.92,31.23,24.58,-11.78,56.15,-70.31,7.34,
239.865,95.57,24.92,139.77,57.34,45.57,144.21,132.44,117.93,
240.083,87.38,106.84,164.35,71.68,70.14,125.78,122.2,126.12,
240.3,32.08,26.96,20.99,51.2,23.04,7,34.13,50.35,
240.517,52.56,49.49,78.33,26.62,27.14,27.48,13.65,19.63,
240.735,42.32,47.44,113.15,16.38,70.14,58.2,60.76,113.83,
240.952,73.04,129.36,197.12,237.56,129.53,183.12,97.62,187.56,
241.169,140.63,106.84,82.43,108.54,27.14,50,130.39,122.02,
241.386,161.11,112.98,125.44,69.63,141.82,43.86,103.76,115.88,
241.603,34.13,-24.23,88.57,55.3,8.7,109.4,54.61,89.26,
241.821,23.89,53.59,23.04,8.19,-17.92,-60.59,54.61,-39.76,
242.038,101.72,133.46,186.88,55.3,35.33,129.88,118.1,146.6,
242.255,144.72,110.93,246.27,88.06,57.86,107.35,42.32,122.02,
242.472,-84.65,45.4,25.09,24.58,-69.12,-54.44,-51.88,5.29,
242.689,44.37,94.55,147.97,108.54,61.95,146.26,56.66,124.07,
