m# CheminTotalEnMicrons	Intensite
5.107632093933464290e+00	5.999999999038205090e+01
5.068493150684931337e+00	5.999999998835404114e+01
5.029354207436399271e+00	5.999999998976834803e+01
4.990215264187867206e+00	5.999999998671323453e+01
4.951076320939335140e+00	5.999999998817153823e+01
4.911937377690803075e+00	5.999999998951651747e+01
4.872798434442270121e+00	5.999999998797090228e+01
4.833659491193738056e+00	5.999999998889780528e+01
4.794520547945205990e+00	5.999999998668700840e+01
4.755381604696673037e+00	5.999999998735550832e+01
4.716242661448140971e+00	5.999999998994763928e+01
4.677103718199608906e+00	5.999999998528583234e+01
4.637964774951076841e+00	5.999999998653144928e+01
4.598825831702544775e+00	5.999999998968828407e+01
4.559686888454011822e+00	5.999999998780572952e+01
4.520547945205479756e+00	5.999999998570726945e+01
4.481409001956947691e+00	5.999999998763097153e+01
4.442270058708414737e+00	5.999999998753905572e+01
4.403131115459882672e+00	5.999999998455243144e+01
4.363992172211350606e+00	5.999999998651062327e+01
4.324853228962818541e+00	5.999999998739596663e+01
4.285714285714286476e+00	5.999999998396310019e+01
4.246575342465753522e+00	5.999999998734058693e+01
4.207436399217221457e+00	5.999999998626217490e+01
4.168297455968689391e+00	5.999999998807034984e+01
4.129158512720156438e+00	5.999999998539552593e+01
4.090019569471624372e+00	5.999999998376629406e+01
4.050880626223092307e+00	5.999999998731754403e+01
4.011741682974560241e+00	5.999999998571201587e+01
3.972602739726028176e+00	5.999999998660931766e+01
3.933463796477495222e+00	5.999999998483989572e+01
3.894324853228963157e+00	5.999999998671403745e+01
3.855185909980431092e+00	5.999999998651200883e+01
3.816046966731898138e+00	5.999999998582787697e+01
3.776908023483366073e+00	5.999999998584583949e+01
3.737769080234834007e+00	5.999999998584912220e+01
3.698630136986301942e+00	5.999999998506475407e+01
3.659491193737769876e+00	5.999999998423126613e+01
3.620352250489236923e+00	5.999999998339388441e+01
3.581213307240704857e+00	5.999999998664151946e+01
3.542074363992172792e+00	5.999999998667590262e+01
3.502935420743639838e+00	5.999999998114196131e+01
3.463796477495107773e+00	5.999999998267261958e+01
3.424657534246575707e+00	5.999999998363932718e+01
3.385518590998043642e+00	5.999999997492778903e+01
3.346379647749511577e+00	5.999999998023191239e+01
3.307240704500978623e+00	5.999999998201444384e+01
3.268101761252446558e+00	5.999999999740720824e+01
3.228962818003914492e+00	6.000000002306749991e+01
3.189823874755381539e+00	6.000000005604957209e+01
3.150684931506849473e+00	6.000000010138532502e+01
3.111545988258317408e+00	6.000000010945002060e+01
3.072407045009785342e+00	6.000000007901646626e+01
3.033268101761253277e+00	5.999999989612732065e+01
2.994129158512720323e+00	5.999999948040516529e+01
2.954990215264188258e+00	5.999999879411365811e+01
2.915851272015656193e+00	5.999999779355132290e+01
2.876712328767123239e+00	5.999999705825738516e+01
2.837573385518591174e+00	5.999999765125750883e+01
2.798434442270059108e+00	5.999999834064069404e+01
2.759295499021527043e+00	6.000000298747317373e+01
2.720156555772994977e+00	6.000001250816209364e+01
2.681017612524462024e+00	6.000002219469004672e+01
2.641878669275929958e+00	6.000003016864288696e+01
2.602739726027397893e+00	6.000005489771263001e+01
2.563600782778864939e+00	6.000005303293811920e+01
2.524461839530332874e+00	6.000001500912023289e+01
2.485322896281800809e+00	5.999994020690486707e+01
2.446183953033268743e+00	5.999983502952466807e+01
2.407045009784736678e+00	5.999966128809001731e+01
2.367906066536203724e+00	5.999955311019441950e+01
2.328767123287671659e+00	5.999943256778677636e+01
2.289628180039139593e+00	5.999948470054864913e+01
2.250489236790606640e+00	5.999993548815825051e+01
2.211350293542074574e+00	6.000098946539434763e+01
2.172211350293542509e+00	6.000256442376815613e+01
2.133072407045010443e+00	6.000422976337548420e+01
2.093933463796478378e+00	6.000540852375693390e+01
2.054794520547945424e+00	6.000716131873734582e+01
2.015655577299413359e+00	6.000404132514402278e+01
1.976516634050881294e+00	5.999937222549863947e+01
1.937377690802348340e+00	5.999117943258802654e+01
1.898238747553817163e+00	5.997801061208701867e+01
1.859099804305284209e+00	5.996140819910118580e+01
1.819960861056751256e+00	5.995526168693024260e+01
1.780821917808220078e+00	5.995554560684720258e+01
1.741682974559687125e+00	5.997154300409023620e+01
1.702544031311155948e+00	6.001129387974491181e+01
1.663405088062622994e+00	6.006331473391505682e+01
1.624266144814090040e+00	6.013317747944991964e+01
1.585127201565558863e+00	6.025638741950059085e+01
1.545988258317025910e+00	6.028608968234144072e+01
1.506849315068492956e+00	6.026571823809319994e+01
1.467710371819961779e+00	6.010765441620733185e+01
1.428571428571428825e+00	5.986963846267749290e+01
1.389432485322895872e+00	5.964844482652712543e+01
1.350293542074364694e+00	5.916383648057220057e+01
1.311154598825831741e+00	5.900849807899683697e+01
1.272015655577300564e+00	5.888651454572753607e+01
1.232876712328767610e+00	5.903955641495770124e+01
1.193737769080234656e+00	5.970633297322612520e+01
1.154598825831703479e+00	6.077134936970192314e+01
1.115459882583170526e+00	6.156550267437159363e+01
1.076320939334639348e+00	6.273841642514899064e+01
1.037181996086106395e+00	6.362143255632285843e+01
9.980430528375734411e-01	6.337306541629499179e+01
9.589041095890422639e-01	6.204687974727271893e+01
9.197651663405093103e-01	6.038998080206557262e+01
8.806262230919763567e-01	5.789310795566473189e+01
8.414872798434451795e-01	5.424945610721615452e+01
8.023483365949122259e-01	5.197310618954111305e+01
7.632093933463792723e-01	4.929279362513145912e+01
7.240704500978480951e-01	5.301092445685655719e+01
6.849315068493151415e-01	5.491275887905463549e+01
6.457925636007839643e-01	6.020810236475244182e+01
6.066536203522510107e-01	6.551235872166716945e+01
5.675146771037180571e-01	7.148584295097289498e+01
5.283757338551868799e-01	7.756301813975520076e+01
4.892367906066539263e-01	7.659944432647742474e+01
4.500978473581227490e-01	7.311641753694978263e+01
4.109589041095897954e-01	6.888571381309692754e+01
3.718199608610568418e-01	5.742028071674292988e+01
3.326810176125256646e-01	4.930947717432371746e+01
2.935420743639927110e-01	4.187164471350898509e+01
2.544031311154597574e-01	3.091444520780214944e+01
2.152641878669285802e-01	3.255905002858217756e+01
1.761252446183956266e-01	3.728907573793314612e+01
1.369863013698626730e-01	5.198490772109711600e+01
9.784735812133149579e-02	6.629867992331867299e+01
5.870841487279854221e-02	8.096597502354313747e+01
1.956947162426736497e-02	8.943246433608432255e+01
-1.956947162426558862e-02	9.061782133360502201e+01
-5.870841487279854221e-02	9.066825190511488586e+01
-9.784735812132971944e-02	8.069065142970079307e+01
-1.369863013698626730e-01	6.539863832841473368e+01
-1.761252446183938503e-01	5.340537956813095377e+01
-2.152641878669268038e-01	4.418243442217705308e+01
-2.544031311154597574e-01	3.043723147196045531e+01
-2.935420743639909347e-01	3.627529418376761328e+01
-3.326810176125238883e-01	3.532253257062519225e+01
-3.718199608610568418e-01	4.764156840077637867e+01
-4.109589041095880191e-01	5.779565394695886482e+01
-4.500978473581209727e-01	6.677400839069645144e+01
-4.892367906066539263e-01	7.697791439389601464e+01
-5.283757338551851035e-01	7.986315210705254231e+01
-5.675146771037180571e-01	7.839645188037461310e+01
-6.066536203522492343e-01	7.209770260942636355e+01
-6.457925636007821879e-01	6.676335876239866707e+01
-6.849315068493151415e-01	6.019281328263537745e+01
-7.240704500978463187e-01	5.520814382951557064e+01
-7.632093933463792723e-01	5.259328645199557428e+01
-8.023483365949104495e-01	5.134861389001398635e+01
-8.414872798434434031e-01	5.171305786941981353e+01
-8.806262230919763567e-01	5.434102405435279337e+01
-9.197651663405075340e-01	5.714505468074024463e+01
-9.589041095890404875e-01	6.048363773325958448e+01
-9.980430528375734411e-01	6.279577173225867881e+01
-1.037181996086104618e+00	6.417170011109107008e+01
-1.076320939334637572e+00	6.419585074634171917e+01
-1.115459882583170526e+00	6.286766386363873949e+01
-1.154598825831701703e+00	6.160956864178876913e+01
-1.193737769080234656e+00	6.056035558327042878e+01
-1.232876712328765834e+00	5.971661610059397418e+01
-1.272015655577298787e+00	5.922204800252539059e+01
-1.311154598825831741e+00	5.877190759617595717e+01
-1.350293542074362918e+00	5.878036085308032455e+01
-1.389432485322895872e+00	5.917293428346751938e+01
-1.428571428571427049e+00	5.956362995835821295e+01
-1.467710371819960002e+00	5.987426315661425491e+01
-1.506849315068492956e+00	6.012390817250813058e+01
-1.545988258317024133e+00	6.023907566966671112e+01
-1.585127201565557087e+00	6.027969253080077294e+01
-1.624266144814090040e+00	6.020927239912624174e+01
-1.663405088062621218e+00	6.014512398617578981e+01
-1.702544031311154171e+00	6.006376027575590371e+01
-1.741682974559687125e+00	6.001461231759292048e+01
-1.780821917808218302e+00	5.997607802711917913e+01
-1.819960861056751256e+00	5.994950952347146966e+01
-1.859099804305282433e+00	5.996211835343341079e+01
-1.898238747553815386e+00	5.996133563801942046e+01
-1.937377690802348340e+00	5.997795068969568177e+01
-1.976516634050879517e+00	5.999060862990430820e+01
-2.015655577299412471e+00	5.999922157968865122e+01
-2.054794520547943648e+00	6.000478350670300642e+01
-2.093933463796476602e+00	6.000673395856748016e+01
-2.133072407045009555e+00	6.000478569332172896e+01
-2.172211350293540733e+00	6.000374459990594289e+01
-2.211350293542073686e+00	6.000251806485697870e+01
-2.250489236790606640e+00	6.000083344102534966e+01
-2.289628180039137817e+00	5.999994552481663845e+01
-2.328767123287670771e+00	5.999955634713910513e+01
-2.367906066536203724e+00	5.999931911553017017e+01
-2.407045009784734901e+00	5.999949190585369507e+01
-2.446183953033267855e+00	5.999964903698188579e+01
-2.485322896281799032e+00	5.999985131799288496e+01
-2.524461839530331986e+00	5.999994110699438465e+01
-2.563600782778864939e+00	6.000001456674848299e+01
-2.602739726027396117e+00	6.000004356975875197e+01
-2.641878669275929070e+00	6.000004625081406573e+01
-2.681017612524460247e+00	6.000004128146151317e+01
-2.720156555772993201e+00	6.000002217064425736e+01
-2.759295499021526155e+00	6.000001194134533478e+01
-2.798434442270057332e+00	6.000000241175666105e+01
-2.837573385518590285e+00	5.999999859770682775e+01
-2.876712328767123239e+00	5.999999737820318302e+01
-2.915851272015654416e+00	5.999999700602392494e+01
-2.954990215264187370e+00	5.999999796241814209e+01
-2.994129158512720323e+00	5.999999887656977648e+01
-3.033268101761251501e+00	5.999999954465061336e+01
-3.072407045009784454e+00	5.999999990680760220e+01
-3.111545988258315631e+00	6.000000008271820207e+01
-3.150684931506848585e+00	6.000000010118468907e+01
-3.189823874755381539e+00	6.000000009518902999e+01
-3.228962818003912716e+00	6.000000006460106761e+01
-3.268101761252445669e+00	6.000000002178170888e+01
-3.307240704500976847e+00	5.999999999662404093e+01
-3.346379647749509800e+00	5.999999998401764856e+01
-3.385518590998042754e+00	5.999999998237887411e+01
-3.424657534246573931e+00	5.999999997730311208e+01
-3.463796477495106885e+00	5.999999998100476262e+01
-3.502935420743639838e+00	5.999999998388562261e+01
-3.542074363992171016e+00	5.999999998063712070e+01
-3.581213307240703969e+00	5.999999998450079630e+01
-3.620352250489236923e+00	5.999999998126440914e+01
-3.659491193737768100e+00	5.999999998460304340e+01
-3.698630136986301054e+00	5.999999998178568461e+01
-3.737769080234832231e+00	5.999999998498956444e+01
-3.776908023483365184e+00	5.999999998709357385e+01
-3.816046966731898138e+00	5.999999998207214702e+01
-3.855185909980429315e+00	5.999999998755750852e+01
-3.894324853228962269e+00	5.999999998574482873e+01
-3.933463796477493446e+00	5.999999998258568468e+01
-3.972602739726026400e+00	5.999999998449286664e+01
-4.011741682974559353e+00	5.999999998608954144e+01
-4.050880626223090530e+00	5.999999998408311797e+01
-4.090019569471623484e+00	5.999999998565144921e+01
-4.129158512720156438e+00	5.999999998862652717e+01
-4.168297455968687615e+00	5.999999998600550555e+01
-4.207436399217220568e+00	5.999999998654101319e+01
-4.246575342465753522e+00	5.999999998822753611e+01
-4.285714285714284699e+00	5.999999998536562629e+01
-4.324853228962817653e+00	5.999999998508980070e+01
-4.363992172211348830e+00	5.999999998726521255e+01
-4.403131115459881784e+00	5.999999998473908391e+01
-4.442270058708414737e+00	5.999999998479249541e+01
-4.481409001956945914e+00	5.999999998545008850e+01
-4.520547945205478868e+00	5.999999998871643925e+01
-4.559686888454010045e+00	5.999999998557633774e+01
-4.598825831702542999e+00	5.999999998829753167e+01
-4.637964774951075952e+00	5.999999998713386873e+01
-4.677103718199607130e+00	5.999999998527521683e+01
-4.716242661448140083e+00	5.999999998621526487e+01
-4.755381604696673037e+00	5.999999998842051951e+01
-4.794520547945204214e+00	5.999999998654696043e+01
-4.833659491193737168e+00	5.999999998843016868e+01
-4.872798434442270121e+00	5.999999998738157103e+01
-4.911937377690801299e+00	5.999999998719041372e+01
-4.951076320939334252e+00	5.999999998895734166e+01
-4.990215264187865429e+00	5.999999998892761255e+01
-5.029354207436398383e+00	5.999999998833276038e+01
-5.068493150684931337e+00	5.999999998996518258e+01
-5.107632093933462514e+00	5.999999998831082593e+01
-5.146771037181995467e+00	5.999999998677022717e+01
-5.185909980430526645e+00	5.999999998966641357e+01
-5.225048923679059598e+00	5.999999998994903905e+01
-5.264187866927592552e+00	5.999999998874132245e+01
-5.303326810176123729e+00	5.999999999036769793e+01
-5.342465753424656683e+00	5.999999998814151780e+01
-5.381604696673189636e+00	5.999999998825374803e+01
-5.420743639921720813e+00	5.999999999033587272e+01
-5.459882583170253767e+00	5.999999998756655373e+01
-5.499021526418786721e+00	5.999999999066957912e+01
-5.538160469667317898e+00	5.999999998889297359e+01
-5.577299412915850851e+00	5.999999998819613722e+01
-5.616438356164382029e+00	5.999999999071406620e+01
-5.655577299412914982e+00	5.999999999102480075e+01
-5.694716242661447936e+00	5.999999999196203504e+01
-5.733855185909979113e+00	5.999999999026691455e+01
-5.772994129158512067e+00	5.999999999058079680e+01
-5.812133072407043244e+00	5.999999999127270200e+01
-5.851272015655576197e+00	5.999999999119790317e+01
-5.890410958904109151e+00	5.999999998957483882e+01
-5.929549902152640328e+00	5.999999998986601213e+01
-5.968688845401173282e+00	5.999999998998196560e+01
-6.007827788649706235e+00	5.999999998910050891e+01
-6.046966731898237413e+00	5.999999999141627427e+01
-6.086105675146768590e+00	5.999999999053821398e+01
-6.125244618395303320e+00	5.999999999024201713e+01
-6.164383561643834497e+00	5.999999999044627685e+01
-6.203522504892365674e+00	5.999999999001420292e+01
-6.242661448140900404e+00	5.999999999025004627e+01
-6.281800391389431582e+00	5.999999999179910048e+01
-6.320939334637962759e+00	5.999999998994969985e+01
-6.360078277886497489e+00	5.999999999022687547e+01
-6.399217221135028666e+00	5.999999999041441612e+01
-6.438356164383559843e+00	5.999999999213429902e+01
-6.477495107632094573e+00	5.999999999257948247e+01
-6.516634050880625750e+00	5.999999999215189206e+01
-6.555772994129156928e+00	5.999999999107996729e+01
-6.594911937377688105e+00	5.999999999246936966e+01
-6.634050880626222835e+00	5.999999999300679576e+01
-6.673189823874754012e+00	5.999999999302579567e+01
-6.712328767123285189e+00	5.999999999120871053e+01
-6.751467710371819919e+00	5.999999999102723791e+01
-6.790606653620351096e+00	5.999999999293517305e+01
-6.829745596868882274e+00	5.999999999184843347e+01
-6.868884540117417004e+00	5.999999999138140083e+01
-6.908023483365948181e+00	5.999999999229516590e+01
-6.947162426614479358e+00	5.999999999189526534e+01
-6.986301369863014088e+00	5.999999999145433804e+01
-7.025440313111545265e+00	5.999999999150187335e+01
-7.064579256360076442e+00	5.999999999040337428e+01
-7.103718199608611172e+00	5.999999999101247994e+01
-7.142857142857142350e+00	5.999999999263582140e+01
-7.181996086105673527e+00	5.999999999339671319e+01
-7.221135029354208257e+00	5.999999999224777270e+01
-7.260273972602739434e+00	5.999999999359259562e+01
-7.299412915851270611e+00	5.999999999325457622e+01
-7.338551859099801788e+00	5.999999999158740849e+01
-7.377690802348336518e+00	5.999999999137513385e+01
-7.416829745596867696e+00	5.999999999218336910e+01
-7.455968688845398873e+00	5.999999999338938750e+01
-7.495107632093933603e+00	5.999999999143828688e+01
-7.534246575342464780e+00	5.999999999106941573e+01
-7.573385518590995957e+00	5.999999999228013081e+01
-7.612524461839530687e+00	5.999999999153602914e+01
-7.651663405088061864e+00	5.999999999334329459e+01
-7.690802348336593042e+00	5.999999999207364709e+01
-7.729941291585127772e+00	5.999999999301803655e+01
-7.769080234833658949e+00	5.999999999172972309e+01
-7.808219178082190126e+00	5.999999999171307508e+01
-7.847358121330721303e+00	5.999999999158519159e+01
-7.886497064579256033e+00	5.999999999117832061e+01
-7.925636007827787211e+00	5.999999999229738989e+01
-7.964774951076318388e+00	5.999999999334627176e+01
-8.003913894324853118e+00	5.999999999143344809e+01
-8.043052837573384295e+00	5.999999999220752755e+01
-8.082191780821915472e+00	5.999999999157898145e+01
-8.121330724070450202e+00	5.999999999249259020e+01
-8.160469667318981379e+00	5.999999999143395968e+01
-8.199608610567512557e+00	5.999999999186099586e+01
-8.238747553816047287e+00	5.999999999128537098e+01
-8.277886497064578464e+00	5.999999999396953143e+01
-8.317025440313109641e+00	5.999999999242570681e+01
