# CheminTotalEnMicrons	Intensite
1.615053835127837445e+01	1.679133467270449431e+00
1.620054001800059851e+01	1.917388483981957270e+00
1.625054168472282257e+01	2.195064249565617853e+00
1.630054335144504662e+01	2.441637564070627153e+00
1.635054501816727068e+01	2.658264001023096235e+00
1.640054668488949474e+01	2.842425219032341577e+00
1.645054835161171880e+01	2.949016210571701713e+00
1.650055001833394286e+01	2.990280762577586238e+00
1.655055168505616692e+01	2.966403451919892742e+00
1.660055335177839098e+01	2.869944156696125237e+00
1.665055501850061503e+01	2.753321585925963877e+00
1.670055668522283909e+01	2.513950834881411911e+00
1.675055835194506315e+01	2.259678275551405324e+00
1.680056001866728721e+01	2.005593751119657320e+00
1.685056168538951127e+01	1.749007176500427807e+00
1.690056335211173533e+01	1.519644628783157314e+00
1.695056501883395939e+01	1.284368497180381485e+00
1.700056668555618344e+01	1.132941153136254986e+00
1.705056835227840750e+01	1.026556674479510267e+00
1.710057001900063156e+01	9.939834395622482166e-01
1.715057168572285562e+01	1.047943890040126558e+00
1.720057335244507968e+01	1.155182728169682704e+00
1.725057501916730374e+01	1.319746024906319537e+00
1.730057668588952779e+01	1.524335869135392540e+00
1.735057835261175185e+01	1.762927959119584109e+00
1.740058001933397591e+01	2.036761570347286554e+00
1.745058168605619997e+01	2.292770655828342274e+00
1.750058335277842403e+01	2.525623464617408054e+00
1.755058501950064809e+01	2.766696259909653399e+00
1.760058668622287215e+01	2.897689834838496736e+00
1.765058835294509620e+01	2.979100224817440523e+00
1.770059001966732026e+01	3.005529257162298684e+00
1.775059168638954432e+01	2.944029588346173121e+00
1.780059335311176838e+01	2.805616136980853437e+00
1.785059501983399244e+01	2.636824529779305593e+00
1.790059668655621650e+01	2.408458958982717668e+00
1.795059835327844056e+01	2.149764422734822933e+00
1.800060002000066461e+01	1.917662655260593318e+00
1.805060168672288867e+01	1.633770834439287167e+00
1.810060335344511273e+01	1.418285107235158993e+00
1.815060502016733679e+01	1.230541799649062407e+00
1.820060668688956085e+01	1.085029955332535323e+00
1.825060835361178491e+01	1.017952183663908938e+00
1.830061002033400896e+01	1.014781439735049196e+00
1.835061168705623302e+01	1.071163259464304351e+00
1.840061335377845708e+01	1.216811278812727215e+00
1.845061502050068114e+01	1.389706666414130876e+00
1.850061668722290520e+01	1.640328700816988450e+00
1.855061835394512926e+01	1.869097565445398734e+00
1.860062002066735332e+01	2.134095513001750710e+00
1.865062168738957737e+01	2.384515490058894294e+00
1.870062335411180143e+01	2.619121428481028691e+00
1.875062502083402549e+01	2.826461469486721167e+00
1.880062668755624955e+01	2.917202557481995751e+00
1.885062835427847361e+01	3.017447144880802679e+00
1.890063002100069767e+01	2.975973203637512388e+00
1.895063168772292173e+01	2.889441320281482373e+00
1.900063335444514578e+01	2.755644537420007811e+00
1.905063502116736984e+01	2.577111949023990878e+00
1.910063668788959390e+01	2.332332321356882954e+00
1.915063835461181796e+01	2.040821094851262618e+00
1.920064002133404557e+01	1.786726639344150325e+00
1.925064168805626963e+01	1.554190350251834829e+00
1.930064335477849369e+01	1.337803077902128157e+00
1.935064502150071775e+01	1.154214974955386497e+00
1.940064668822294180e+01	1.045914352973623895e+00
1.945064835494516586e+01	1.002761501519402021e+00
1.950065002166738992e+01	1.018327438153558306e+00
1.955065168838961398e+01	1.122187697583629573e+00
1.960065335511183804e+01	1.285289793491794175e+00
1.965065502183406210e+01	1.474477685372180602e+00
1.970065668855628616e+01	1.723868720895216589e+00
1.975065835527851021e+01	1.984392039818700271e+00
1.980066002200073427e+01	2.255089378619026697e+00
1.985066168872295833e+01	2.508088205883830302e+00
1.990066335544518239e+01	2.699799853607214750e+00
1.995066502216740645e+01	2.851457467173292848e+00
